channel,wavelength_nm,relative_spd
blue,426.734322,0.006710
blue,435.668382,0.020128
blue,441.082886,0.038916
blue,445.143806,0.059581
blue,447.918789,0.084541
blue,450.084590,0.121041
blue,451.979744,0.177402
blue,454.280903,0.269995
blue,455.634486,0.382448
blue,455.905203,0.475845
blue,456.108275,0.555287
blue,456.446739,0.640634
blue,456.988172,0.723832
blue,457.529605,0.811862
blue,458.409503,0.910628
blue,459.627728,0.960279
blue,462.944143,0.959742
blue,463.959365,0.913312
blue,465.245372,0.816694
blue,466.937419,0.731079
blue,467.952641,0.649759
blue,468.967862,0.561728
blue,469.712333,0.393451
blue,469.780046,0.482287
blue,469.915439,0.272142
blue,470.862947,0.174450
blue,472.622673,0.121846
blue,474.653117,0.082662
blue,477.360385,0.056629
blue,483.316425,0.030864
blue,491.099802,0.011540
blue,499.898469,0.004026
blue,517.292731,0.000000
green,450.287662,0.000000
green,467.478818,0.006173
green,476.480522,0.019860
green,481.827450,0.038379
green,485.888301,0.059314
green,488.663284,0.083736
green,490.829085,0.120773
green,492.791884,0.177134
green,495.025399,0.269458
green,496.446695,0.382179
green,496.717412,0.475040
green,496.852839,0.555019
green,497.258914,0.640097
green,497.732668,0.723296
green,498.409459,0.811057
green,499.153998,0.910091
green,500.439902,0.959474
green,503.756318,0.959206
green,504.636181,0.912775
green,506.057546,0.815620
green,507.681914,0.730274
green,508.764849,0.648953
green,509.780037,0.561192
green,510.456828,0.392915
green,510.524542,0.481750
green,510.659900,0.271336
green,511.607442,0.173645
green,513.434848,0.121042
green,515.397612,0.082394
green,518.104881,0.056361
green,524.060921,0.030328
green,531.844297,0.011004
green,540.710712,0.003757
green,558.037226,0.000000
red,573.198008,0.002147
red,590.321485,0.012078
red,599.390868,0.025765
red,604.737727,0.044283
red,608.730969,0.065486
red,611.573630,0.089641
red,613.604073,0.126678
red,615.702161,0.183038
red,617.935676,0.275362
red,619.357041,0.388084
red,619.424686,0.481213
red,619.763116,0.560923
red,620.101512,0.646001
red,620.575335,0.729469
red,621.252126,0.817499
red,622.064276,0.915996
red,623.282569,0.965378
red,626.531306,0.965110
red,627.546527,0.918948
red,628.967824,0.821524
red,630.524582,0.736447
red,631.675127,0.654858
red,632.622704,0.567096
red,633.299495,0.399088
red,633.367209,0.487923
red,633.502567,0.277509
red,634.450109,0.179818
red,636.209836,0.127214
red,638.240279,0.088298
red,640.947548,0.062266
red,646.903519,0.036500
red,654.754643,0.016908
red,663.620990,0.009662
red,680.879894,0.003220
